genres_list,avg_sentiment
Family,0.28856501313464455
Animation,0.28641918921992165
Western,0.24784
Music,0.2355379868002368
Comedy,0.23307045825159955
Romance,0.23086209999063784
Fantasy,0.2160617350228551
Adventure,0.17179154987310832
Drama,0.158024723147532
History,0.1473430224202384
Science Fiction,0.13819553785477356
War,0.13036061837329405
Action,0.12064732807325027
Documentary,0.09731168831168832
Crime,0.09431135885838382
Thriller,0.07475478083205796
Mystery,0.07018657861884023
Foreign,0.04804285714285715
Horror,-0.003154642709465492
TV Movie,
