,0
budget,0.28379971627311235
runtime,0.2673041778365077
release_month,0.1494787254833231
Comedy,0.02777782802351541
Thriller,0.02644135525898144
Action,0.026140474765447827
Drama,0.02566849631988083
Romance,0.022756626929104518
Crime,0.022631746867184055
Science Fiction,0.020377729931236245
Adventure,0.018915704198364518
Fantasy,0.01586220004397752
Horror,0.015140869155404316
Mystery,0.015082735102645092
Family,0.011810768530710189
